sector,variant,pair_label,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Energi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,24,17,70.83333333333334,67.5,True
Industri,SMA50/SMA200 | Threshold 0.25% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p0025_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.25% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p0025_VOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.50% | No Volume Filter,SMA50/SMA200,50,200,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_50_200_TH_0p005_NOVOL_Signal,0,0,0.0,0.0,False
Industri,SMA50/SMA200 | Threshold 0.50% | Volume >= VolMA20,SMA50/SMA200,50,200,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_50_200_TH_0p005_VOL_Signal,0,0,0.0,0.0,False
Teknologi,SMA20/SMA50 | Threshold 0.50% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p005_NOVOL_Signal,13,10,76.92307692307693,81.81818181818181,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p001_VOL_Signal,13,9,69.23076923076923,68.18181818181819,True
Teknologi,SMA20/SMA50 | No Threshold | No Volume Filter,SMA20/SMA50,20,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0_NOVOL_Signal,44,28,63.63636363636363,66.11111111111111,True
Teknologi,SMA20/SMA50 | Threshold 0.25% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p0025_NOVOL_Signal,19,12,63.1578947368421,75.0,True
Teknologi,SMA20/SMA50 | No Threshold | Volume >= VolMA20,SMA20/SMA50,20,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0_VOL_Signal,19,12,63.1578947368421,59.375,True
Teknologi,SMA20/SMA50 | Threshold 0.10% | No Volume Filter,SMA20/SMA50,20,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_20_50_TH_0p001_NOVOL_Signal,32,20,62.5,66.66666666666667,True
